,Time,Alt,lt,ln
0,1900-01-01 00:58:29.123,001060,+33.77167,-84.39539
1,1900-01-01 00:58:30.123,001060,+33.77167,-84.39539
2,1900-01-01 00:58:31.130,001060,+33.77167,-84.39539
3,1900-01-01 00:58:32.131,001060,+33.77167,-84.39539
4,1900-01-01 00:58:33.131,001060,+33.77167,-84.39539
5,1900-01-01 00:58:34.131,001060,+33.77167,-84.39539
6,1900-01-01 00:58:35.131,001060,+33.77167,-84.39539
7,1900-01-01 00:58:36.123,001060,+33.77167,-84.39539
8,1900-01-01 00:58:37.131,001060,+33.77167,-84.39539
9,1900-01-01 00:58:38.123,001060,+33.77167,-84.39539
10,1900-01-01 00:58:39.130,001059,+33.77167,-97.81716
11,1900-01-01 00:58:40.123,001060,+33.77167,-84.39539
12,1900-01-01 00:58:41.123,001060,+33.77167,-84.39539
13,1900-01-01 00:58:42.130,001060,+33.77167,-84.39539
14,1900-01-01 00:58:43.124,001060,+33.77167,-84.39539
15,1900-01-01 00:58:44.131,001060,+33.77167,-84.39539
16,1900-01-01 00:58:45.131,001060,+33.77167,-84.39539
17,1900-01-01 00:58:46.123,001060,+33.77167,-84.39539
18,1900-01-01 00:58:47.130,001060,+33.77167,-84.39539
19,1900-01-01 00:58:48.123,001060,+33.77167,-84.39539
20,1900-01-01 00:58:49.130,001060,+33.77167,-84.39539
21,1900-01-01 00:58:50.123,001060,+33.77167,-84.39539
22,1900-01-01 00:58:51.131,001060,+33.77167,-84.39539
23,1900-01-01 00:58:52.131,001060,+33.77167,-84.39539
24,1900-01-01 00:58:53.123,001060,+33.77167,-84.39539
25,1900-01-01 00:58:54.130,001060,+33.77167,-84.39539
26,1900-01-01 00:58:55.132,001060,+33.77167,-84.39539
27,1900-01-01 00:58:56.123,001060,+33.77167,-84.39539
28,1900-01-01 00:58:57.123,001060,+33.77167,-84.39539
29,1900-01-01 00:58:58.130,001060,+33.77167,-84.39539
